1633690800000,55485.67000000,55600.00000000,55400.00000000,55464.07000000,810.63620000,1633692599999,45010188.97909370,30111,363.62687000,20190032.17851890,0
1633692600000,55464.08000000,55496.50000000,55138.18000000,55242.72000000,1021.58659000,1633694399999,56492275.00704450,34230,476.52975000,26350466.67452860,0
1633694400000,55242.71000000,55300.00000000,54506.00000000,54886.36000000,1891.11753000,1633696199999,103925243.06885490,68070,877.44374000,48217932.87396020,0
1633696200000,54886.36000000,55075.00000000,54653.00000000,54841.01000000,1353.85914000,1633697999999,74281594.80209330,41311,652.65859000,35808718.45341160,0
1633698000000,54841.00000000,54880.40000000,54608.02000000,54840.43000000,898.00896000,1633699799999,49146096.53725640,34613,428.43449000,23449296.24853750,0
1633699800000,54840.43000000,54936.54000000,54035.25000000,54178.99000000,1914.72852000,1633701599999,104144129.00059250,66373,865.76623000,47093967.06955750,0
1633701600000,54179.00000000,54448.04000000,54135.01000000,54365.77000000,846.93956000,1633703399999,46016783.55387440,37777,405.56451000,22035707.18172570,0
1633703400000,54365.76000000,54689.99000000,54346.13000000,54570.92000000,932.41542000,1633705199999,50875699.10035530,38988,437.54248000,23872679.37294390,0
1633705200000,54570.92000000,54799.99000000,54502.03000000,54564.58000000,746.82062000,1633706999999,40790768.07879850,26663,407.29223000,22247295.89908990,0
1633707000000,54564.59000000,54564.59000000,54024.84000000,54324.84000000,1217.84936000,1633708799999,66024037.33349330,35487,573.94158000,31115236.54125250,0
1633708800000,54324.83000000,54385.66000000,54042.38000000,54282.56000000,734.75178000,1633710599999,39821699.67120810,23464,372.23628000,20175094.90680740,0
1633710600000,54282.56000000,54520.70000000,54244.02000000,54298.45000000,637.69470000,1633712399999,34667131.20549850,22306,316.77522000,17223097.63734560,0
1633712400000,54298.45000000,54447.92000000,54179.59000000,54255.24000000,534.14611000,1633714199999,29006873.18735310,19886,251.76373000,13671280.86497870,0
1633714200000,54255.25000000,54327.63000000,54136.64000000,54293.89000000,367.29405000,1633715999999,19912983.82121900,17075,178.12597000,9657579.68480530,0
