1631511000000 44702.82000000 44974.19000000 44584.94000000 44745.14000000 1376.36490000 1631512799999 61604372.30441270 33449 597.83394000 26756160.67964300 0
1631512800000 44745.14000000 44842.09000000 44594.74000000 44800.00000000 1024.00706000 1631514599999 45775757.16582300 23691 433.63516000 19388547.07454930 0
1631514600000 44800.00000000 44906.68000000 44704.23000000 44813.50000000 719.28926000 1631516399999 32225275.63189870 17635 330.61498000 14812927.44566280 0
1631516400000 44813.50000000 44893.10000000 44260.00000000 44377.12000000 1469.90774000 1631518199999 65470810.05424790 35920 642.33308000 28611320.27109030 0
1631518200000 44377.12000000 44531.49000000 44174.00000000 44470.63000000 1543.69144000 1631519999999 68473046.70164100 43336 762.45715000 33814977.51955960 0
1631520000000 44470.62000000 44561.53000000 44164.20000000 44390.42000000 1393.34987000 1631521799999 61779133.38814450 36986 656.72759000 29120459.39909770 0
1631521800000 44390.41000000 44550.00000000 44227.46000000 44395.00000000 908.04604000 1631523599999 40303705.96552260 25137 434.82769000 19298662.53218580 0
1631523600000 44395.00000000 44523.14000000 44354.64000000 44464.24000000 834.47997000 1631525399999 37089851.82578060 22930 413.64498000 18385118.03623140 0
1631525400000 44464.24000000 44654.87000000 44344.67000000 44509.87000000 805.83496000 1631527199999 35873874.85559100 21760 389.77416000 17352749.54133070 0
1631527200000 44509.87000000 44770.93000000 44468.58000000 44671.96000000 646.27470000 1631528999999 28839619.56172940 21606 326.76198000 14582365.55349370 0
1631529000000 44671.96000000 44691.66000000 44491.10000000 44691.66000000 606.73992000 1631530799999 27066460.83105700 17103 303.60044000 13543466.75540430 0
1631530800000 44691.66000000 44800.00000000 44170.01000000 44583.08000000 1548.13839000 1631532599999 68896530.51293210 34519 688.11434000 30631616.72498090 0
1631532600000 44583.08000000 44915.00000000 44583.08000000 44859.24000000 1150.10621000 1631534399999 51485339.08333560 27894 588.80782000 26358178.74630180 0
1631534400000 44859.24000000 45006.00000000 44659.75000000 44749.93000000 1429.08981000 1631536199999 64097545.00246380 30863 655.86573000 29420403.85158590 0
1631536200000 44749.93000000 44801.29000000 44500.00000000 44629.42000000 907.40857000 1631537999999 40547660.72868180 23117 418.54584000 18704640.91818690 0
1631538000000 44629.42000000 44787.38000000 44565.86000000 44719.66000000 646.48343000 1631539799999 28892289.61398000 21170 334.06440000 14930411.11600730 0
1631539800000 44719.67000000 46880.00000000 44703.98000000 46140.01000000 7750.00860000 1631541599999 356451300.69876360 167654 4083.07661000 187809376.52545250 0
1631541600000 46140.01000000 46249.37000000 43370.00000000 44132.08000000 10446.59097000 1631543399999 463966483.80903400 227377 5094.63162000 226380473.39768020 0
1631543400000 44132.09000000 44260.00000000 43647.48000000 43933.32000000 3402.70827000 1631545199999 149586990.84184890 73842 1864.03712000 81915733.89736120 0
1631545200000 43933.32000000 44421.05000000 43858.00000000 44244.81000000 1904.10898000 1631546999999 84013416.99264610 43919 891.46762000 39337289.55111680 0
1631547000000 44244.80000000 44533.33000000 44244.80000000 44361.31000000 1124.72001000 1631548799999 49926963.08765860 29710 572.68449000 25422290.08352480 0
1631548800000 44361.97000000 44450.00000000 44167.01000000 44268.03000000 1032.86635000 1631550599999 45732676.54754690 28490 491.16989000 21746745.66052990 0
1631550600000 44268.02000000 44454.91000000 44217.39000000 44434.98000000 671.25449000 1631552399999 29754625.44378680 21237 363.71835000 16123845.75300830 0
1631552400000 44434.97000000 44561.52000000 44350.00000000 44398.12000000 842.25033000 1631554199999 37446757.37827090 21904 408.44919000 18159942.60135590 0
1631554200000 44398.12000000 44510.00000000 44310.01000000 44461.74000000 503.61673000 1631555999999 22377049.38118350 16726 245.47614000 10907582.75542220 0
1631556000000 44461.74000000 44557.90000000 44304.48000000 44550.96000000 529.41216000 1631557799999 23526757.41108360 19515 300.65414000 13361590.02859260 0
1631557800000 44550.96000000 44740.45000000 44550.96000000 44705.37000000 841.16687000 1631559599999 37559174.63239960 23163 399.55060000 17841378.90553090 0
1631559600000 44707.85000000 44780.39000000 44605.20000000 44751.86000000 708.12179000 1631561399999 31644311.02066370 17594 341.00144000 15241240.43072610 0
1631561400000 44751.86000000 44813.55000000 44655.49000000 44741.66000000 543.11971000 1631563199999 24300499.50467570 16767 264.57036000 11836940.77768030 0
1631563200000 44741.66000000 44922.08000000 44738.34000000 44779.02000000 628.26484000 1631564999999 28172798.48227780 19237 305.12885000 13682325.54285000 0
1631565000000 44779.03000000 45260.00000000 44779.02000000 45168.52000000 879.87026000 1631566799999 39578756.73581240 23349 514.03749000 23131890.23025800 0
1631566800000 45174.25000000 45500.00000000 45008.23000000 45039.23000000 1083.30272000 1631568599999 49001444.96592420 33815 553.72780000 25045037.96305880 0
1631568600000 45039.23000000 45192.96000000 44910.93000000 45100.89000000 561.80804000 1631570399999 25303966.31427090 18710 312.37182000 14069385.06273750 0
1631570400000 45100.88000000 45222.22000000 44939.27000000 45047.19000000 664.07461000 1631572199999 29930231.51806010 24392 330.39961000 14892372.41450980 0
1631572200000 45052.87000000 45123.53000000 44931.71000000 45055.36000000 538.52705000 1631573999999 24259025.78458010 22547 245.69311000 11067122.84301750 0
1631574000000 45055.36000000 45131.00000000 44784.03000000 44903.32000000 656.80218000 1631575799999 29540556.45225110 18055 348.00578000 15651694.09185240 0
1631575800000 44903.35000000 45050.00000000 44903.34000000 44940.73000000 529.86163000 1631577599999 23834954.55994510 13632 276.68792000 12445660.77581650 0
1631577600000 44940.72000000 45300.00000000 44594.44000000 44817.72000000 1294.37373000 1631579399999 58170560.51088880 35190 638.34701000 28681160.97034500 0
